"test"," time-1 "," time-2 "," time-3 ","range"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour.hs"," 11.3424"," 11.8693"," 12.2633","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/CSS.hs"," 2.2057"," 2.1030"," 2.1552","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Colourise.hs"," 7.4905"," 7.1390"," 7.1973","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/General.hs"," 0.7862"," 0.7482"," 0.7547","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/InlineCSS.hs"," 2.2725"," 2.2182"," 2.2245","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/MIRC.hs"," 4.4997"," 4.4545"," 4.7418","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Options.hs"," 0.8729"," 0.8345"," 0.8429","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Output.hs"," 1.0503"," 1.0141"," 1.0428","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/TTY.hs"," 1.1793"," 1.1414"," 1.1745","0"
"Tests/Benchmarks/hscolour/Setup.hs"," 0.7011"," 0.6971"," 0.6793","0"
"Tests/Benchmarks/icfp_neg/Composition.hs"," 1.0280"," 0.9784"," 0.9952","0"
"Tests/Benchmarks/icfp_neg/DBMovies.hs"," 6.6317"," 7.2188"," 6.9964","0"
"Tests/Benchmarks/icfp_neg/IfM.hs"," 9.1432"," 9.8517"," 10.0681","0"
"Tests/Benchmarks/icfp_neg/Records.hs"," 0.8776"," 0.8670"," 0.8669","0"
"Tests/Benchmarks/icfp_neg/TestM.hs"," 0.8247"," 0.7890"," 0.7876","0"
"Tests/Benchmarks/icfp_neg/TwiceM.hs"," 32.0131"," 31.2580"," 32.1259","0"
"Tests/Benchmarks/icfp_neg/WhileM.hs"," 1.3774"," 1.4999"," 1.5284","0"
"Tests/Benchmarks/icfp_pos/Append.hs"," 1.2580"," 1.2174"," 1.2517","0"
"Tests/Benchmarks/icfp_pos/CompareConstraints.hs"," 1.3524"," 1.7915"," 1.9073","0"
"Tests/Benchmarks/icfp_pos/Composition.hs"," 1.0264"," 0.9764"," 1.0085","0"
"Tests/Benchmarks/icfp_pos/DBMovies.hs"," 7.5895"," 7.9030"," 8.0004","0"
"Tests/Benchmarks/icfp_pos/DataBase.hs"," 12.9945"," 12.5102"," 12.6351","0"
"Tests/Benchmarks/icfp_pos/Filter.lhs"," 1.1388"," 1.1447"," 1.1750","0"
"Tests/Benchmarks/icfp_pos/FindRec.hs"," 17.5891"," 17.5880"," 17.9249","0"
"Tests/Benchmarks/icfp_pos/FoldAbs.hs"," 5.4178"," 5.2137"," 5.3829","0"
"Tests/Benchmarks/icfp_pos/ICFP15.lhs"," 1.9739"," 2.1149"," 2.1282","0"
"Tests/Benchmarks/icfp_pos/IfM.hs"," 8.9025"," 9.0416"," 9.3254","0"
"Tests/Benchmarks/icfp_pos/IfM2.hs"," 7.3975"," 8.0925"," 8.3506","0"
