"test"," time-1464925730"," time-1465445492"," time-1465507416","range"
"Tests/Unit/pos/ListMSort-LType.hs"," 2.1955"," 3.7214"," 2.9184","1"
"Tests/Unit/pos/OrdList.hs"," 13.5998"," 14.4132"," 12.8237","1"
"Tests/Unit/pos/RBTree-ord.hs"," 6.3475"," 6.9559"," 5.7095","1"
"Tests/Unit/pos/exp0.hs"," 1.9371"," 0.7303"," 0.7735","1"
"Tests/Unit/pos/extype.hs"," 2.2368"," 0.7330"," 0.7612","1"
"Tests/Unit/pos/for.hs"," 2.2693"," 0.9933"," 1.0866","1"
"Tests/Unit/pos/jeff.hs"," 4.6639"," 2.9419"," 3.0009","1"
"Tests/Unit/pos/mapreduce.hs"," 3.2442"," 2.1170"," 1.9082","1"
"Tests/Unit/pos/meas9.hs"," 2.5191"," 0.8412"," 0.7762","1"
"Tests/Unit/pos/transTAG.hs"," 2.8791"," 1.7774"," 1.6489","1"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 27.3956"," 27.0765"," 26.6479","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Char8.hs"," 7.1300"," 7.4671"," 6.9615","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Internal.hs"," 1.6992"," 1.6429"," 1.4844","0"
"Tests/Benchmarks/bytestring/Data/ByteString/LazyZip.hs"," 7.7825"," 7.7688"," 7.3801","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Unsafe.hs"," 1.9499"," 1.8390"," 1.6917","0"
"Tests/Benchmarks/esop/Array.hs"," 2.3061"," 2.6525"," 1.7008","0"
"Tests/Benchmarks/esop/Fib.hs"," 1.3819"," 1.2136"," 0.9231","0"
"Tests/Benchmarks/esop/GhcListSort.hs"," 6.8368"," 6.3095"," 6.0998","0"
"Tests/Benchmarks/esop/ListSort.hs"," 2.0383"," 2.1203"," 1.9729","0"
"Tests/Benchmarks/esop/Splay.hs"," 5.9536"," 6.2250"," 5.3984","0"
"Tests/Benchmarks/esop/Toy.hs"," 1.5234"," 1.5161"," 1.3896","0"
"Tests/Benchmarks/haskell16_neg/Append.hs"," 1.7579"," 1.8572"," 1.6677","0"
"Tests/Benchmarks/haskell16_neg/Fibonacci.hs"," 2.4640"," 2.7960"," 2.6181","0"
"Tests/Benchmarks/haskell16_neg/FunctorList.hs"," 1.8491"," 1.7693"," 1.5993","0"
"Tests/Benchmarks/haskell16_neg/FunctorMaybe.hs"," 1.2312"," 1.2910"," 1.1070","0"
"Tests/Benchmarks/haskell16_neg/MapFusion.hs"," 1.9203"," 1.6832"," 1.4882","0"
"Tests/Benchmarks/haskell16_pos/Append.hs"," 1.4174"," 1.4823"," 1.3544","0"
"Tests/Benchmarks/haskell16_pos/BasicLambdas.hs"," 1.0806"," 0.7903"," 0.7287","0"
"Tests/Benchmarks/haskell16_pos/Compose.hs"," 1.3818"," 0.8128"," 0.7548","0"
"Tests/Benchmarks/haskell16_pos/Fibonacci.hs"," 2.9925"," 2.7017"," 2.6034","0"
"Tests/Benchmarks/haskell16_pos/FoldrUniversal.hs"," 2.8414"," 2.2006"," 1.9061","0"
"Tests/Benchmarks/haskell16_pos/FunctorList.hs"," 1.6123"," 1.5377"," 1.3435","0"
"Tests/Benchmarks/haskell16_pos/FunctorMaybe.hs"," 1.2788"," 1.2615"," 0.9347","0"
"Tests/Benchmarks/haskell16_pos/Helper.hs"," 1.3267"," 1.3583"," 1.1889","0"
"Tests/Benchmarks/haskell16_pos/MapFusion.hs"," 1.3881"," 1.2558"," 1.1256","0"
"Tests/Benchmarks/haskell16_pos/MonadList.hs"," 1.6421"," 1.6961"," 1.6340","0"
"Tests/Benchmarks/haskell16_pos/MonadMaybe.hs"," 1.1458"," 1.0576"," 0.9621","0"
"Tests/Benchmarks/haskell16_pos/MonoidList.hs"," 1.1851"," 1.0884"," 0.9260","0"
"Tests/Benchmarks/haskell16_pos/MonoidMaybe.hs"," 1.0032"," 1.0231"," 0.8950","0"
"Tests/Benchmarks/haskell16_pos/Overview.hs"," 1.1290"," 1.1592"," 1.0319","0"
"Tests/Benchmarks/haskell16_pos/Proves.hs"," 0.8289"," 0.8917"," 0.7959","0"
"Tests/Benchmarks/haskell16_pos/Solver.hs"," 1.6619"," 1.6594"," 1.5106","0"
