"test"," time-1464925730"," time-1465445492","range"
"Tests/Unit/neg/vector2.hs"," 4.2953"," 1.3978","2"
"Tests/Unit/pos/AVLRJ.hs"," 4.1999"," 2.0875","2"
"Tests/Unit/pos/FFI.hs"," 3.1450"," 0.8985","2"
"Tests/Unit/pos/Foldl.hs"," 9.8908"," 7.1931","2"
"Tests/Unit/pos/Map2.hs"," 10.8521"," 13.0924","2"
"Tests/Unit/pos/failName.hs"," 3.6773"," 0.6899","2"
"Tests/Unit/pos/gadtEval.hs"," 4.0140"," 1.4633","2"
"Tests/Unit/pos/kmpIO.hs"," 3.1375"," 0.8366","2"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Char8.hs"," 10.7024"," 8.8291","1"
"Tests/Benchmarks/haskell16_pos/ApplicativeMaybe.hs"," 3.3439"," 2.0701","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/CSS.hs"," 2.6739"," 1.6679","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/InlineCSS.hs"," 3.3618"," 1.7235","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/LaTeX.hs"," 14.6002"," 13.1628","1"
"Tests/Benchmarks/icfp_neg/IfM.hs"," 5.7695"," 4.5746","1"
"Tests/Benchmarks/icfp_pos/DBMovies.hs"," 4.5496"," 3.0978","1"
"Tests/Benchmarks/icfp_pos/IfM.hs"," 5.5031"," 4.4894","1"
"Tests/Benchmarks/icfp_pos/Overview.lhs"," 7.4559"," 6.4235","1"
"Tests/Benchmarks/text/Data/Text/Lazy/Fusion.hs"," 7.8125"," 6.6678","1"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 46.0169"," 47.8452","1"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Optimal.hs"," 8.6390"," 7.2072","1"
"Tests/Unit/pos/BinarySearch.hs"," 2.3148"," 0.8238","1"
"Tests/Unit/pos/ListMSort-LType.hs"," 2.1955"," 3.7214","1"
"Tests/Unit/pos/Map0.hs"," 11.9538"," 10.3620","1"
"Tests/Unit/pos/StateConstraints0.hs"," 10.0282"," 8.7911","1"
"Tests/Unit/pos/exp0.hs"," 1.9371"," 0.7303","1"
"Tests/Unit/pos/extype.hs"," 2.2368"," 0.7330","1"
"Tests/Unit/pos/for.hs"," 2.2693"," 0.9933","1"
"Tests/Unit/pos/jeff.hs"," 4.6639"," 2.9419","1"
"Tests/Unit/pos/mapreduce.hs"," 3.2442"," 2.1170","1"
"Tests/Unit/pos/meas9.hs"," 2.5191"," 0.8412","1"
"Tests/Unit/pos/transTAG.hs"," 2.8791"," 1.7774","1"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 27.3956"," 27.0765","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Char8.hs"," 7.1300"," 7.4671","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Internal.hs"," 1.6992"," 1.6429","0"
"Tests/Benchmarks/bytestring/Data/ByteString/LazyZip.hs"," 7.7825"," 7.7688","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Unsafe.hs"," 1.9499"," 1.8390","0"
"Tests/Benchmarks/esop/Array.hs"," 2.3061"," 2.6525","0"
"Tests/Benchmarks/esop/Fib.hs"," 1.3819"," 1.2136","0"
"Tests/Benchmarks/esop/GhcListSort.hs"," 6.8368"," 6.3095","0"
"Tests/Benchmarks/esop/ListSort.hs"," 2.0383"," 2.1203","0"
"Tests/Benchmarks/esop/Splay.hs"," 5.9536"," 6.2250","0"
"Tests/Benchmarks/esop/Toy.hs"," 1.5234"," 1.5161","0"
"Tests/Benchmarks/haskell16_neg/Ackermann.hs"," 11.0940"," 10.7832","0"
"Tests/Benchmarks/haskell16_neg/Append.hs"," 1.7579"," 1.8572","0"
